"ticker","rank","sector_class","industry_rank","exp_growth","period","load_date","zr_var_lastload","zr_var_lastload_daysdiff","zr_var_actual","zr_var_actual_daysdiff"
"PGC","2-Buy","Industry: Banks - Northeast","Top 26% (67 out of 253)",NULL,202012,"2020-12-31",0,0,0,0
"PBFX","3-Hold","Industry: Oil and Gas - Production Pipeline - MLB","Bottom 13% (218 out of 251)",0.1,202111,"2021-11-05",0,0,0,0
"ZNGA","3-Hold","Industry: Gaming","Top 42% (105 out of 252)",0.16,202106,"2021-06-26",0,0,0,0
"SIG","1-Strong","Industry: Retail - Jewelry","Top 26% (65 out of 252)",0.08,202106,"2021-06-26",0,0,0,0
"RUN","4-Sell","Industry: Solar","Bottom 9% (229 out of 252)",0.1416,202106,"2021-06-26",0,0,0,0
"GES","1-Strong","Industry: Textile - Apparel","Top 14% (35 out of 252)",0.1,202106,"2021-06-26",0,0,0,0
"EURN","4-Sell","Industry: Transportation - Shipping","Top 34% (86 out of 252)",0.19399999999999998,202106,"2021-06-26",0,0,0,0
"CNTY","2-Buy","Industry: Gaming","Top 42% (105 out of 252)",0.2112,202106,"2021-06-26",0,0,0,0
"ZYXI","3-Hold","Industry: Medical - Products","Bottom 30% (177 out of 252)",0.11,202106,"2021-06-26",0,0,0,0
"ZYNE","3-Hold","Industry: Medical - Generic Drugs","Bottom 19% (204 out of 252)",0.11,202106,"2021-06-26",0,0,0,0
"ZYME","3-Hold","Industry: Medical - Biomedical and Genetics","Bottom 16% (211 out of 252)",0.11,202106,"2021-06-26",0,0,0,0
"ZVO","5-Strong","Industry: Technology Services","Bottom 14% (217 out of 252)",0.2,202106,"2021-06-26",0,0,0,0
"ZUO","2-Buy","Industry: Internet - Software","Bottom 21% (200 out of 252)",0.1286,202106,"2021-06-26",0,0,0,0
"VIAV","3-Hold","Industry: Communication - Components","Bottom 24% (191 out of 252)",0.14,202106,"2021-06-26",0,0,0,0
"TWIN","2-Buy","Industry: Manufacturing - General Industrial ","Top 23% (58 out of 252)",0.1324,202106,"2021-06-26",0,0,0,0
"SYY","3-Hold","Industry: Food - Miscellaneous","Bottom 30% (177 out of 252)",0.09,202106,"2021-06-26",0,0,0,0
"SPPI","3-Hold","Industry: Medical - Drugs","Bottom 11% (224 out of 252)",0.3,202106,"2021-06-26",0,0,0,0
"PLTK","3-Hold","Industry: Gaming","Top 42% (105 out of 252)",0.2,202106,"2021-06-26",0,0,0,0
"HGV","3-Hold","Industry: Hotels and Motels","Bottom 29% (180 out of 252)",0.15,202106,"2021-06-26",0,0,0,0
"F","3-Hold","Industry: Automotive - Domestic","Top 37% (94 out of 252)",0.21780000000000002,202106,"2021-06-26",0,0,0,0
"ELP","3-Hold","Industry: Utility - Electric Power","Bottom 26% (187 out of 252)",0.1,202106,"2021-06-26",0,0,0,0
"BCO","2-Buy","Industry: Outsourcing","Top 17% (42 out of 252)",0.0559,202106,"2021-06-26",0,0,0,0
"FTI","3-Hold","Industry: Oil and Gas - Field Services","Bottom 34% (166 out of 252)",0.138,202106,"2021-06-26",0,0,0,0
"FTHM","5-Strong","Industry: Technology Services","Bottom 14% (217 out of 252)",0.138,202106,"2021-06-26",0,0,0,0
"FTEK","2-Buy","Industry: Pollution Control","Top 34% (85 out of 252)",0.138,202106,"2021-06-26",0,0,0,0
"FTDR","3-Hold","Industry: Building Products - Miscellaneous","Top 33% (83 out of 252)",0.138,202106,"2021-06-26",0,0,0,0
"FTCH","3-Hold","Industry: Retail - Apparel and Shoes","Top 21% (52 out of 252)",0.15,202106,"2021-06-26",0,0,0,0
"FTAI","3-Hold","Industry: Financial - Miscellaneous Services","Bottom 26% (187 out of 252)",0.15,202106,"2021-06-26",0,0,0,0
"FSTX","3-Hold","Industry: Medical - Biomedical and Genetics","Bottom 16% (211 out of 252)",0.15,202106,"2021-06-26",0,0,0,0
"FSTR","4-Sell","Industry: Steel - Producers","Top 4% (10 out of 252)",0.15,202106,"2021-06-26",0,0,0,0
"FSP","4-Sell","Industry: REIT and Equity Trust - Other","Bottom 22% (196 out of 252)",0.25,202106,"2021-06-26",0,0,0,0
"FSM","3-Hold","Industry: Mining - Silver","Bottom 1% (251 out of 252)",0.25,202106,"2021-06-26",0,0,0,0
"FSLY","3-Hold","Industry: Internet - Software","Bottom 21% (200 out of 252)",0.25,202106,"2021-06-26",0,0,0,0
"FSLR","3-Hold","Industry: Solar","Bottom 9% (229 out of 252)",0.1745,202106,"2021-06-26",0,0,0,0
"FSK","3-Hold","Industry: Financial - SBIC & Commercial Industry","Bottom 21% (200 out of 252)",0.1745,202106,"2021-06-26",0,0,0,0
"AEE","3-Hold","Industry: Utility - Electric Power","Bottom 26% (187 out of 252)",0.07339999999999999,202106,"2021-06-26",0,0,0,0
"ZTS","3-Hold","Industry: Medical - Drugs","Bottom 30% (178 out of 253)",NULL,202012,"2020-12-31",0,0,0,0
