,ticker,y_rank,y_rank_num,y_rank_analyst_num,profit_margins,y_price_1y_est,y_revenue_growth_est,y_earnings_growth_est,growth_est_next_year,growth_est_next_5_years,market_cap,avg_volume,eps,pe_ratio,ss_shares_outstanding,dividend_rate_per_share,dividend_yield,load_date
0,0700.HK,NULL,NULL,NULL,0.34419,NULL,0.135,0.028,NULL,0.2041,4.43E+12,19808126,11.01408,41.92815,9593910272,1.347,0.24,2021-12-28
,0700.HK,2-BUY,2,51,0.34419,615.89,NULL,NULL,NULL,0.2041,NULL,26461726,11.01,42.44,9590000000,NULL,NULL,2021-12-07
,0700.HK,2-BUY,2,51,0.34419,614.91,NULL,NULL,NULL,0.2041,NULL,26461726,11.01,42.44,9590000000,NULL,NULL,2021-11-30
,0700.HK,2-BUY,2,51,0.34419,616.27,NULL,NULL,NULL,0.2041,NULL,26461726,11.01,42.44,9590000000,NULL,NULL,2021-11-27
,0700.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2041,NULL,26461726,11.01,42.44,9590000000,NULL,NULL,2021-11-05
,0700.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2041,NULL,35550264,11.01,41.89,9590000000,NULL,NULL,2021-10-01
,0700.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2041,NULL,31872774,11.01,44.34,9600000000,NULL,NULL,2021-09-02
,0700.HK,NULL,NULL,NULL,NULL,388.16,NULL,NULL,NULL,0.2041,NULL,24747819,11.01,43.13,NULL,NULL,NULL,2021-08-04
,0700.HK,NULL,NULL,NULL,NULL,388.16,NULL,NULL,NULL,0.2041,NULL,21648170,11.01,47.94,NULL,NULL,NULL,2021-07-09
,0700.HK,NULL,NULL,NULL,NULL,388.16,NULL,NULL,NULL,0.2041,NULL,21424189,11.01,53.02,NULL,NULL,NULL,2021-07-01
,0700.HK,NULL,NULL,NULL,NULL,388.16,NULL,NULL,NULL,0.2041,NULL,22036044,11.01,53.61,NULL,NULL,NULL,2021-06-27
,0700.HK,NULL,NULL,NULL,NULL,388.16,NULL,NULL,NULL,0.2041,NULL,22036044,11.01,53.61,NULL,NULL,NULL,2021-06-25
,0914.HK,NULL,NULL,NULL,0.19216,NULL,0.484,0.182,NULL,0.1832,2.47E+11,5624612,7.096125,5.629833,1299600000,2.12,3.17,2021-12-28
,0914.HK,2-BUY,2,18,0.18849,53.94,NULL,NULL,NULL,0.1832,NULL,8929489,7.1,5.24,NULL,NULL,NULL,2021-12-23
,0914.HK,2-BUY,2,18,0.18849,56.06,NULL,NULL,NULL,0.1832,NULL,8929489,7.1,5.24,NULL,NULL,NULL,2021-12-07
,0914.HK,2-BUY,2,18,0.18849,55.93,NULL,NULL,NULL,0.1832,NULL,8929489,7.1,5.24,NULL,NULL,NULL,2021-11-30
,0914.HK,2-BUY,2,18,0.18849,56.49,NULL,NULL,NULL,0.1832,NULL,8929489,7.1,5.24,NULL,NULL,NULL,2021-11-27
,0914.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1832,NULL,8929489,7.1,5.24,NULL,NULL,NULL,2021-11-16
,0968.HK,NULL,NULL,NULL,0.39491,NULL,0.747,1.003,NULL,0.0915,1.16E+11,30486709,NULL,NULL,8809249792,0.255,3.35,2021-12-28
,0968.HK,2-BUY,2,25,0.39491,18.51,NULL,NULL,NULL,0.0915,NULL,33296009,NULL,NULL,NULL,NULL,NULL,2021-12-23
,0968.HK,2-BUY,2,25,0.39491,19.06,NULL,NULL,NULL,0.0915,NULL,33296009,NULL,NULL,NULL,NULL,NULL,2021-12-07
,0968.HK,2-BUY,2,25,0.39491,19.17,NULL,NULL,NULL,0.0915,NULL,33296009,NULL,NULL,NULL,NULL,NULL,2021-11-30
,0968.HK,2-BUY,2,25,0.39491,19.17,NULL,NULL,NULL,0.0915,NULL,33296009,NULL,NULL,NULL,NULL,NULL,2021-11-27
,0968.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0915,NULL,33296009,NULL,NULL,NULL,NULL,NULL,2021-11-16
,1109.HK,2-BUY,2,23,0.15151,43.51,NULL,NULL,NULL,0.2058,NULL,17376249,4.6,7.48,7130000000,NULL,NULL,2021-12-28
,1109.HK,2-BUY,2,23,0.15151,43.44,NULL,NULL,NULL,0.2058,NULL,17376249,4.6,7.48,7130000000,NULL,NULL,2021-12-23
,1109.HK,2-BUY,2,23,0.15151,43.04,NULL,NULL,NULL,0.2058,NULL,17376249,4.6,7.48,7130000000,NULL,NULL,2021-12-07
,1109.HK,2-BUY,2,23,0.15151,42.92,NULL,NULL,NULL,0.2058,NULL,17376249,4.6,7.48,7130000000,NULL,NULL,2021-11-30
,1109.HK,2-BUY,2,23,0.15151,42.97,NULL,NULL,NULL,0.2058,NULL,17376249,4.6,7.48,7130000000,NULL,NULL,2021-11-27
,1109.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2058,NULL,17376249,4.6,7.48,7130000000,NULL,NULL,2021-11-16
,1299.HK,NULL,NULL,NULL,0.123959996,NULL,0.216,0.475,NULL,0.065,9.51E+11,20007301,4.28285,18.352266,12096499712,0.175,1.49,2021-12-28
,1299.HK,2-BUY,2,28,0.123959996,111.79,NULL,NULL,NULL,0.065,NULL,20617639,4.28,20.12,12100000000,NULL,NULL,2021-12-07
,1299.HK,2-BUY,2,26,0.123959996,112.91,NULL,NULL,NULL,0.065,NULL,20617639,4.28,20.12,12100000000,NULL,NULL,2021-11-30
,1299.HK,2-BUY,2,26,0.123959996,113.17,NULL,NULL,NULL,0.065,NULL,20617639,4.28,20.12,12100000000,NULL,NULL,2021-11-27
,1299.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.065,NULL,20617639,4.28,20.12,12100000000,NULL,NULL,2021-11-05
,1299.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.065,NULL,22105438,4.28,21,12100000000,NULL,NULL,2021-10-01
,1299.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.065,NULL,20851895,4.28,21.9,12100000000,NULL,NULL,2021-09-02
,1299.HK,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,0.065,NULL,21741372,4.28,21.64,NULL,NULL,NULL,2021-08-04
,1299.HK,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,0.065,NULL,20633024,4.28,21.99,NULL,NULL,NULL,2021-07-09
,1299.HK,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,0.065,NULL,21138170,4.28,22.53,NULL,NULL,NULL,2021-07-01
,1299.HK,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,0.065,NULL,21064984,4.28,21.88,NULL,NULL,NULL,2021-06-27
,1299.HK,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,0.065,NULL,21064984,4.28,21.88,NULL,NULL,NULL,2021-06-25
,1585.HK,NULL,NULL,NULL,0.047620002,NULL,0.639,0.485,NULL,0.0693,43777785856,4409089,NULL,NULL,2846409984,0.16,NULL,2021-12-28
,1585.HK,1-STRONG,1,8,0.047620002,25.69,NULL,NULL,NULL,0.0693,NULL,4466366,NULL,NULL,2850000000,NULL,NULL,2021-12-23
,1585.HK,1-STRONG,1,8,0.047620002,25.69,NULL,NULL,NULL,0.0693,NULL,4466366,NULL,NULL,2850000000,NULL,NULL,2021-12-21
,1585.HK,1-STRONG,1,8,0.047620002,25.82,NULL,NULL,NULL,0.0693,NULL,4466366,NULL,NULL,2850000000,NULL,NULL,2021-12-07
,1585.HK,1-STRONG,1,8,0.047620002,25.75,NULL,NULL,NULL,0.0693,NULL,4466366,NULL,NULL,2850000000,NULL,NULL,2021-11-30
,1585.HK,1-STRONG,1,7,0.047620002,26.08,NULL,NULL,NULL,0.0693,NULL,4466366,NULL,NULL,2850000000,NULL,NULL,2021-11-27
,1585.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0693,NULL,4466366,NULL,NULL,2850000000,NULL,NULL,2021-11-16
,1810.HK,NULL,NULL,NULL,0.09517,NULL,0.547,2.393,NULL,-0.1623,4.66E+11,85961244,NULL,NULL,20319600640,NULL,NULL,2021-12-28
,1810.HK,2-BUY,2,32,0.081949994,28.49,NULL,NULL,NULL,-0.1623,NULL,96147930,NULL,NULL,20320000000,NULL,NULL,2021-12-23
,1810.HK,2-BUY,2,32,0.081949994,28.49,NULL,NULL,NULL,-0.1623,NULL,96147930,NULL,NULL,20320000000,NULL,NULL,2021-12-21
,1810.HK,2-BUY,2,31,0.081949994,28.79,NULL,NULL,NULL,-0.1623,NULL,96147930,NULL,NULL,20320000000,NULL,NULL,2021-12-07
,1810.HK,2-BUY,2,31,0.081949994,28.88,NULL,NULL,NULL,-0.1623,NULL,96147930,NULL,NULL,20320000000,NULL,NULL,2021-11-30
,1810.HK,2-BUY,2,31,0.081949994,29.72,NULL,NULL,NULL,-0.1623,NULL,96147930,NULL,NULL,20320000000,NULL,NULL,2021-11-27
,1810.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.1623,NULL,96147930,NULL,NULL,20320000000,NULL,NULL,2021-11-16
,2331.HK,NULL,NULL,NULL,0.16118,NULL,0.65,1.856,NULL,0.3627,2.07E+11,14566500,0.69218,119.6943,2493850112,0.205,NULL,2021-12-28
,2331.HK,2-BUY,2,33,0.16118,104.23,NULL,NULL,NULL,0.3627,NULL,18580350,0.69,138.19,NULL,NULL,NULL,2021-12-21
,2331.HK,2-BUY,2,33,0.16118,104.48,NULL,NULL,NULL,0.3627,NULL,18580350,0.69,138.19,NULL,NULL,NULL,2021-12-07
,2331.HK,2-BUY,2,33,0.16118,104.17,NULL,NULL,NULL,0.3627,NULL,18580350,0.69,138.19,NULL,NULL,NULL,2021-11-30
,2331.HK,2-BUY,2,33,0.16118,104.3,NULL,NULL,NULL,0.3627,NULL,18580350,0.69,138.19,NULL,NULL,NULL,2021-11-27
,2331.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3627,NULL,18580350,0.69,138.19,NULL,NULL,NULL,2021-11-16
,3323.HK,NULL,NULL,NULL,0.059359998,NULL,0.018,0.249,NULL,-0.0029,81648574464,22052041,1.453868,6.658101,3868699904,0.47,2.6,2021-12-28
,3323.HK,2-BUY,2,20,0.059359998,14.54,NULL,NULL,NULL,-0.0029,NULL,33610284,1.45,6.18,3870000000,NULL,NULL,2021-12-23
,3323.HK,2-BUY,2,19,0.059359998,14.82,NULL,NULL,NULL,-0.0029,NULL,33610284,1.45,6.18,3870000000,NULL,NULL,2021-12-07
,3323.HK,2-BUY,2,19,0.059359998,14.8,NULL,NULL,NULL,-0.0029,NULL,33610284,1.45,6.18,3870000000,NULL,NULL,2021-11-30
,3323.HK,2-BUY,2,19,0.059359998,14.83,NULL,NULL,NULL,-0.0029,NULL,33610284,1.45,6.18,3870000000,NULL,NULL,2021-11-27
,3323.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-0.0029,NULL,33610284,1.45,6.18,3870000000,NULL,NULL,2021-11-16
,3968.HK,NULL,NULL,NULL,0.45538,NULL,0.121,0.21,NULL,0.1479,1.54E+12,12065344,4.04535,15.26444,4590900224,1.253,2.92,2021-12-28
,3968.HK,2-BUY,2,27,0.45538,73.6,NULL,NULL,NULL,0.1479,NULL,18937289,4.05,16.12,NULL,NULL,NULL,2021-12-21
,3968.HK,2-BUY,2,27,0.45538,73.27,NULL,NULL,NULL,0.1479,NULL,18937289,4.05,16.12,NULL,NULL,NULL,2021-12-07
,3968.HK,2-BUY,2,27,0.45538,73.13,NULL,NULL,NULL,0.1479,NULL,18937289,4.05,16.12,NULL,NULL,NULL,2021-11-30
,3968.HK,2-BUY,2,27,0.45538,73.22,NULL,NULL,NULL,0.1479,NULL,18937289,4.05,16.12,NULL,NULL,NULL,2021-11-27
,3968.HK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1479,NULL,18937289,4.05,16.12,NULL,NULL,NULL,2021-11-16
,AAON,3-HOLD,3,2,0.14936,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-28
,AAON,3-HOLD,3,2,0.14936,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-23
,AAON,3-HOLD,3,2,0.14936,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-21
,AAON,3-HOLD,3,2,0.14936,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-17
,AAON,3-HOLD,3,2,0.14936,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-15
,AAON,3-HOLD,3,2,0.14936,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-09
,AAON,3-HOLD,3,2,0.13878,71,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-12-07
,AAON,3-HOLD,3,2,0.13878,71,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-11-30
,AAON,3-HOLD,3,2,0.13878,71,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-11-27
,AAON,NULL,NULL,NULL,NULL,62,NULL,NULL,0.119,0.12,NULL,128347,1.38,53.32,52440000,NULL,NULL,2021-11-05
,AAON,NULL,NULL,NULL,NULL,62,NULL,NULL,0.119,0.12,NULL,139417,1.38,47.35,52440000,NULL,NULL,2021-10-01
,AAON,NULL,NULL,NULL,NULL,62,NULL,NULL,0.119,0.12,NULL,143724,1.43,47.23,52400000,NULL,NULL,2021-09-02
,AAON,NULL,NULL,NULL,NULL,59,NULL,NULL,0.167,0.12,NULL,149065,1.38,45.2,NULL,NULL,NULL,2021-08-04
,AAON,NULL,NULL,NULL,NULL,59,NULL,NULL,0.167,0.12,NULL,147922,1.38,45.93,NULL,NULL,NULL,2021-07-09
,AAON,NULL,NULL,NULL,NULL,59,NULL,NULL,0.167,0.12,NULL,138443,1.38,45.36,NULL,NULL,NULL,2021-07-01
,AAON,NULL,NULL,NULL,NULL,59,NULL,NULL,0.167,0.12,NULL,132774,1.49,42.16,NULL,NULL,NULL,2021-06-27
,AAON,NULL,NULL,NULL,NULL,59,NULL,NULL,0.167,0.12,NULL,132774,1.49,42.16,NULL,NULL,NULL,2021-06-25
,AAWW,2-BUY,2,7,0.12449,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-28
,AAWW,2-BUY,2,7,0.12449,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-23
,AAWW,2-BUY,2,7,0.12449,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-21
,AAWW,2-BUY,2,7,0.12449,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-17
,AAWW,2-BUY,2,7,0.12449,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-15
,AAWW,2-BUY,2,7,0.12449,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-09
,AAWW,2-BUY,2,7,0.13171,105.57,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-12-07
,AAWW,2-BUY,2,7,0.13171,105.57,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-11-30
,AAWW,2-BUY,2,7,0.13171,105.57,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-11-27
,AAWW,NULL,NULL,NULL,NULL,93.71,NULL,NULL,-0.237,0.1,NULL,502663,15.49,5.55,29020000,NULL,NULL,2021-11-05
,AAWW,NULL,NULL,NULL,NULL,93.71,NULL,NULL,-0.282,0.1,NULL,417117,15.92,5.13,29020000,NULL,NULL,2021-10-01
,AAWW,NULL,NULL,NULL,NULL,93.71,NULL,NULL,-0.237,0.1,NULL,370975,15.92,4.61,29020000,NULL,NULL,2021-09-02
,AAWW,NULL,NULL,NULL,NULL,93.43,NULL,NULL,-0.228,0.1,NULL,381322,15.49,4.28,NULL,NULL,NULL,2021-08-04
,AAWW,NULL,NULL,NULL,NULL,93.43,NULL,NULL,-0.228,0.1,NULL,415354,15.49,4.27,NULL,NULL,NULL,2021-07-09
,AAWW,NULL,NULL,NULL,NULL,94,NULL,NULL,-0.229,0.1,NULL,434993,13.5,5.06,NULL,NULL,NULL,2021-06-27
,AAWW,NULL,NULL,NULL,NULL,94,NULL,NULL,-0.229,0.1,NULL,434993,13.5,5.06,NULL,NULL,NULL,2021-06-25
,ABCL,2-BUY,2,5,0.51202,45.4,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-28
,ABCL,2-BUY,2,5,0.51202,45.4,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-23
,ABCL,2-BUY,2,5,0.51202,45.4,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-21
,ABCL,2-BUY,2,5,0.51202,45.4,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-17
,ABCL,2-BUY,2,5,0.51202,45.4,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-15
,ABCL,2-BUY,2,5,0.51202,45.4,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-09
,ABCL,2-BUY,2,6,0.47437,41.5,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-12-07
,ABCL,2-BUY,2,6,0.47437,41.5,NULL,NULL,-1.515,-0.8638,NULL,2387103,NULL,NULL,270930000,NULL,NULL,2021-11-30
