,ticker,y_price_1y_est,y_rank,recommendationkey,y_rank_analyst_num,profit_margins
0,NTDOY,71,3,hold,1,0.27211002
1,DIM.PA,492.71,2.4,buy,7,0.1982
2,ASC.L,4046.45,2.1,buy,22,0.03283
3,DIA.MI,182.75,2.8,hold,10,0.27844
4,SIM.CO,792.81,3.4,hold,7,0.21586001
5,BBOX.L,245.6,2.1,buy,10,4.13836
6,0968.HK,19.17,1.8,buy,25,0.39491
7,GPROFUT.MX,,,none,,0.10516
8,WOR.AX,11.96,2.2,buy,10,0.00903
9,1810.HK,29.72,1.9,buy,31,0.081949994
10,COP.DE,83.88,2.2,buy,12,0.064569995
11,SANT.DE,30,1.9,buy,5,0.04052
12,WLN.PA,75.5,2,buy,18,0.054180004
13,FXPO.L,3.55,2.7,hold,10,0.45970002
14,PMTS,,2,buy,,0.06161
15,AEI,2.02,2.5,buy,2,-2.82039
16,RILY,,,none,,0.34662
17,SDH,,,none,,0.52144
18,JWEL,,,none,,0.01491
19,ITIC,,,none,,0.20778
20,RMD.AX,38.63,2.7,hold,12,0.14923
21,ESGR,,,none,,0.76723
22,PKBK,,,none,,0.51629
23,MORN,,,none,,0.13113
24,EEIQ,10,,none,1,-0.098050006
25,HKIB,9,2,buy,1,1.0382199
26,ERF.PA,107.09,2.6,hold,17,0.13465999
27,BXC,96.33,2,buy,3,0.058130004
28,3968.HK,73.22,2,buy,27,0.45538
29,SWMA.ST,77.42,2.4,buy,14,0.33594
30,INTZ,4.63,3,hold,2,-2.6177201
31,SLCT,17.25,1.5,strong_buy,2,0.27306
32,HTA,34.27,2.5,buy,11,0.14444
33,HZO,62,2.4,buy,6,0.07511
34,MPLX,34.59,2.1,buy,17,0.31803
35,TER,156.25,2,buy,20,0.27591
36,CBOE,135.46,2.4,buy,13,0.1297
37,FDS,379.23,3.3,hold,13,0.25109
38,ONTO,105,1.8,buy,5,0.16081
39,REXR,75.81,1.7,buy,8,0.26461
40,NVDA,331.54,1.9,buy,39,0.33806
41,JBHT,194.32,2.4,buy,22,0.05895
42,SAFE,98,2.2,buy,8,0.37337002
43,CCS,100.25,1.7,buy,4,0.10641
44,FORM,48.63,1.9,buy,8,0.10148
45,NTES,113.35,1.5,strong_buy,1,0.14626001
46,GSL,29,1.5,strong_buy,4,0.34087002
47,FHI,34,3,hold,7,0.22112
48,EDN,4.57,3.6,underperform,3,-0.39196
49,IBCP,24.8,2.7,hold,5,0.31677
50,BFC,79.5,2.5,buy,2,0.41000998
51,FBMS,45.5,2,buy,5,0.33313
52,AMNB,38.75,2,buy,2,0.37255
53,NBHC,46.2,2.6,hold,5,0.3108
54,SMMF,28.5,2.5,buy,2,0.35627997
55,GNTY,41.38,2.2,buy,4,0.33280998
56,FHN,19.5,2,buy,14,0.28542998
57,CBNK,30.25,1.7,buy,4,0.22907
58,WLK,113.71,2.3,buy,17,0.14498
59,TSCO,225.92,2.3,buy,26,0.07418
60,KFRC,79.33,1.8,buy,3,0.047849998
61,EOG,111.06,2,buy,33,0.18018
62,CVE,15.72,2,buy,9,0.02348
63,CTAS,423.33,2.1,buy,9,0.15717
64,AEIS,104.88,2.6,hold,8,0.09575
65,CCNE,29.33,2,buy,3,0.28035
66,STL,28.81,1.8,buy,8,0.38555
67,CHCT,54.75,2.2,buy,8,0.24718
68,TPL,1392.33,3,hold,3,0.62391996
69,FGBI,26,2.3,buy,3,0.26953
70,LFC,12.37,1,strong_buy,1,0.060960002
71,CUZ,44.33,2,buy,6,0.16195999
72,ADBE,714,1.8,buy,28,0.38671002
73,GFF,33.5,1.5,strong_buy,6,0.03489
74,SNX,140.14,1.7,buy,7,0.0183
75,SGH,72,1.7,buy,6,0.014190001
76,FIX,99,2.5,buy,3,0.05095
77,HLNE,116.4,2.8,hold,5,0.42251
78,MCHP,96.66,2.1,buy,25,0.10715
79,TGNA,22.38,2.3,buy,8,0.18764
80,SSNC,88.82,2.2,buy,11,0.15043999
81,AZPN,176.17,1.9,buy,6,0.44699
82,CASH,68.5,1.7,buy,4,0.28334
83,MCO,427.45,2.3,buy,15,0.35199
84,SMPL,41.73,2,buy,11,0.04065
85,LEN,120.36,2.1,buy,14,0.16152
86,SFBS,80.33,3,hold,3,0.53928
87,EQT,31.64,2,buy,22,-0.60543996
88,GMRE,18.39,1.4,strong_buy,9,0.13465
89,BSRR,29,2.2,buy,5,0.30579
90,EFSC,55,2,buy,5,0.29918
91,DIBS,20.4,2.2,buy,5,-0.14513
92,QCRH,66.75,1.7,buy,4,0.33251998
93,PFBC,79.17,2.2,buy,6,0.49847
94,BFST,32.7,1.4,strong_buy,5,0.292
95,TSC,30.5,2.7,hold,4,0.31437
96,ORRF,27.25,2.5,buy,4,0.31279
97,GRVY,,,none,,0.18555
98,TBK,125.29,2.4,buy,7,0.28378
99,RGLS,1.38,2.5,buy,4,0
100,TW,99.18,2.4,buy,11,0.22596
101,HBMD,24,2.3,buy,2,0.28691
102,PFHD,22.4,2,buy,5,0.30792
103,FIGS,44.3,1.9,buy,10,-0.02631
104,DFH,17.67,3,hold,3,0.05368
105,DV,40.63,2,buy,8,0.029849999
106,VZ,60.15,2.7,hold,26,0.16419001
107,QIWI,902,3,hold,2,0.36894
108,FUTU,166.61,1.5,strong_buy,17,0.47349
109,ENX.PA,106.45,2.1,buy,14,0.31691998
110,GSMG,7.5,2,buy,1,0.21475
111,CAG,36.76,2.7,hold,16,0.108
112,CHGG,55,2.4,buy,14,0.00036
113,CNC,83.53,1.9,buy,19,0.00645
114,SAIC,101,2.3,buy,8,0.03931
115,BPMP,13.69,3.1,hold,7,1.29019
116,TREX,124.31,2.4,buy,13,0.20245
117,ENPH,263.36,2.1,buy,25,0.13438
118,EAF,13.79,2.3,buy,6,0.28167
119,JAMF,50.73,2.1,buy,11,-0.17245
120,AFYA,22.31,2.3,buy,8,0.15009
121,NSIT,120.33,1.5,strong_buy,3,0.02299
122,HEI,142.54,2.5,buy,13,0.15736
123,VCEL,58.96,1.3,strong_buy,6,0.00139
124,SIEB,,,none,,0.08165
125,FEVR.L,2366.67,2.6,hold,18,0.15395
126,TTD,94.67,2.2,buy,18,0.25128
127,DELL,73.55,2.1,buy,18,0.03769
128,KMPR,77.25,2.5,buy,4,0.0146
129,AMZN,4068.37,1.7,buy,51,0.057350002
130,IR,65.57,2,buy,14,0.0715
131,MRVL,75.19,1.9,buy,27,-0.10736
132,SITE,241.13,2.4,buy,8,0.06647
133,VRTX,251.3,2.1,buy,24,0.30523002
134,HLMA.L,2905.21,2.9,hold,14,0.18225001
135,GPN,200.07,1.9,buy,30,0.11376
136,IDXX,701,2.1,buy,5,0.24141
137,CPRX,10,2,buy,4,0.31159002
138,TNC,89,1.7,buy,3,0.05472
139,SSD,124,2.5,buy,4,0.15622
140,UFPI,93.83,2,buy,6,0.057490002
141,ZTS,238.83,1.8,buy,12,0.26024
142,IBP,146.36,2.3,buy,11,0.062480003
143,FND,151.33,1.7,buy,21,0.08958
144,ICLR,305.33,2.1,buy,12,0.04085
145,FKWL,,2,buy,,0.077470005
146,GDYN,38.43,1.6,buy,7,-0.0504
147,ASTC,,,none,,0
148,AVK,,,none,,9.38731
149,GBS,,,none,,0
150,SOF.BR,351.67,,none,3,0.98666
151,BETS-B.ST,75.33,2.7,hold,3,0.17145
152,PHM.MC,88.61,3,hold,7,0.31745002
153,CIH,,,none,,-0.50014997
154,NEM.DE,86.94,3.1,hold,16,0.19275999
155,POLY.L,18.71,2.2,buy,19,0.37583
156,1585.HK,26.08,1.3,strong_buy,7,0.047620002
157,FORTY,,,none,,0.02224
158,TOMZ,,,none,,-0.60443
159,UBOH,,,none,,0.23793
160,GCBC,,,none,,0.41871
161,ASML.AS,796.61,2,buy,28,0.3054
162,BC8.DE,66.16,2.5,buy,13,0.0367
