,ticker,rank,sector_class,industry_rank,exp_growth,period,load_date
0,ZTS,3-Hold,Industry: Medical - Drugs,Bottom 30% (178 out of 253),,202012,31/12/2020
0,ZTO,5-Strong,Industry: Transportation - Services,Top 40% (102 out of 253),,202012,31/12/2020
0,ZBRA,3-Hold,Industry: Manufacturing - Thermal Products,Top 48% (122 out of 253),,202012,31/12/2020
0,YY,4-Sell,Industry: Internet - Services,Top 46% (116 out of 253),,202012,31/12/2020
0,YNDX,3-Hold,Industry: Internet - Content,Top 46% (116 out of 253),,202012,31/12/2020
0,XPEL,3-Hold,Industry: Automotive - Original Equipment,Top 37% (93 out of 253),,202012,31/12/2020
0,WST,3-Hold,Industry: Medical - Dental Supplies,Top 47% (118 out of 253),,202012,31/12/2020
0,WSO,3-Hold,Industry: Building Products - Air Conditioner and Heating,Top 48% (122 out of 253),,202012,31/12/2020
0,WSFS,1-Strong,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,WSBC,1-Strong,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,WNS,3-Hold,Industry: Business - Services,Bottom 21% (201 out of 253),,202012,31/12/2020
0,WMS,3-Hold,Industry: Building Products - Miscellaneous,Top 28% (70 out of 253),,202012,31/12/2020
0,WLK,3-Hold,Industry: Chemical - Plastic,Top 2% (6 out of 253),,202012,31/12/2020
0,WIRE,3-Hold,Industry: Wire and Cable Products,Top 48% (122 out of 253),,202012,31/12/2020
0,WING,4-Sell,Industry: Retail - Restaurants,Bottom 16% (212 out of 253),,202012,31/12/2020
0,WGO,1-Strong,Industry: Building Products - Mobile Homes and RV Builders,Top 2% (4 out of 253),,202012,31/12/2020
0,WD,3-Hold,Industry: Financial - Mortgage & Related Services,Top 30% (75 out of 253),,202012,31/12/2020
0,WB,3-Hold,Industry: Internet - Content,Top 46% (116 out of 253),,202012,31/12/2020
0,WAL,3-Hold,Industry: Banks - West,Bottom 28% (182 out of 253),,202012,31/12/2020
0,VRTX,3-Hold,Industry: Medical - Biomedical and Genetics,Bottom 17% (209 out of 253),,202012,31/12/2020
0,VPG,4-Sell,Industry: Electronics - Miscellaneous Components,Top 30% (75 out of 253),,202012,31/12/2020
0,VLY,2-Buy,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,VIVO,1-Strong,Industry: Medical - Products,Bottom 14% (217 out of 253),,202012,31/12/2020
0,VICR,3-Hold,Industry: Electronics - Miscellaneous Components,Top 30% (75 out of 253),,202012,31/12/2020
0,VICI,3-Hold,Industry: REIT and Equity Trust - Other,Bottom 13% (219 out of 253),,202012,31/12/2020
0,VGR,3-Hold,Industry: Tobacco,Bottom 25% (190 out of 253),,202012,31/12/2020
0,VEEV,3-Hold,Industry: Internet - Software,Bottom 30% (178 out of 253),,202012,31/12/2020
0,UVSP,1-Strong,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,ULTA,3-Hold,Industry: Retail - Miscellaneous,Top 18% (45 out of 253),,202012,31/12/2020
0,UFPT,3-Hold,Industry: Containers - Paper and Packaging,Top 35% (88 out of 253),,202012,31/12/2020
0,UFPI,4-Sell,Industry: Building Products - Wood,Top 8% (20 out of 253),,202012,31/12/2020
0,UCTT,2-Buy,Industry: Electronics - Manufacturing Machinery,Top 22% (55 out of 253),,202012,31/12/2020
0,UCBI,2-Buy,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,TYL,3-Hold,Industry: Business - Software Services,Top 48% (122 out of 253),,202012,31/12/2020
0,TXRH,3-Hold,Industry: Retail - Restaurants,Bottom 16% (212 out of 253),,202012,31/12/2020
0,TX,3-Hold,Industry: Steel - Producers,Top 38% (97 out of 253),,202012,31/12/2020
0,TW,2-Buy,Industry: Financial - Investment Bank,Top 7% (17 out of 253),,202012,31/12/2020
0,TTWO,3-Hold,Industry: Toys - Games - Hobbies,Top 21% (53 out of 253),,202012,31/12/2020
0,TTD,3-Hold,Industry: Internet - Services,Top 46% (116 out of 253),,202012,31/12/2020
0,TSC,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,TRU,3-Hold,Industry: Business - Information Services,Bottom 31% (175 out of 253),,202012,31/12/2020
0,TROW,1-Strong,Industry: Financial - Investment Management,Top 17% (44 out of 253),,202012,31/12/2020
0,TRNO,2-Buy,Industry: REIT and Equity Trust - Other,Bottom 13% (219 out of 253),,202012,31/12/2020
0,TREX,2-Buy,Industry: Building Products - Wood,Top 8% (20 out of 253),,202012,31/12/2020
0,TPVG,3-Hold,Industry: Financial - SBIC & Commercial Industry,Top 47% (120 out of 253),,202012,31/12/2020
0,TPL,1-Strong,Industry: Real Estate - Operations,Top 37% (93 out of 253),,202012,31/12/2020
0,TPB,3-Hold,Industry: Tobacco,Bottom 25% (190 out of 253),,202012,31/12/2020
0,TMO,3-Hold,Industry: Medical - Instruments,Bottom 32% (171 out of 253),,202012,31/12/2020
0,TMHC,3-Hold,Industry: Building Products - Home Builders,Top 10% (26 out of 253),,202012,31/12/2020
0,TME,4-Sell,Industry: Internet - Content,Top 46% (116 out of 253),,202012,31/12/2020
0,TKR,2-Buy,Industry: Metal Products - Procurement and Fabrication,Top 23% (58 out of 253),,202012,31/12/2020
0,TKC,3-Hold,Industry: Wireless Non-US ,Top 37% (93 out of 253),,202012,31/12/2020
0,TGS,3-Hold,Industry: Oil and Gas - Production and Pipelines,Top 21% (52 out of 253),,202012,31/12/2020
0,TCFC,3-Hold,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,TCBK,2-Buy,Industry: Banks - West,Bottom 28% (182 out of 253),,202012,31/12/2020
0,TBK,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,TBBK,4-Sell,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,SYNH,3-Hold,Industry: Medical Info Systems,Bottom 12% (223 out of 253),,202012,31/12/2020
0,SYK,3-Hold,Industry: Medical - Products,Bottom 14% (217 out of 253),,202012,31/12/2020
0,SWKH,2-Buy,Industry: Financial - Miscellaneous Services,Bottom 33% (170 out of 253),,202012,31/12/2020
0,SUPN,3-Hold,Industry: Medical - Generic Drugs,Bottom 23% (194 out of 253),,202012,31/12/2020
0,SUI,3-Hold,Industry: REIT and Equity Trust - Residential,Bottom 8% (233 out of 253),,202012,31/12/2020
0,STRA,3-Hold,Industry: Schools,Top 48% (122 out of 253),,202012,31/12/2020
0,STOR,4-Sell,Industry: REIT and Equity Trust - Retail,Bottom 11% (226 out of 253),,202012,31/12/2020
0,STMP,3-Hold,Industry: Internet - Commerce,Bottom 10% (228 out of 253),,202012,31/12/2020
0,STM,5-Strong,Industry: Semiconductor - General,Bottom 25% (190 out of 253),,202012,31/12/2020
0,STL,1-Strong,Industry: Banks - Northeast,Top 26% (67 out of 253),,202012,31/12/2020
0,STAG,2-Buy,Industry: REIT and Equity Trust - Other,Bottom 13% (219 out of 253),,202012,31/12/2020
0,SSNC,3-Hold,Industry: Computer - Software,Top 48% (122 out of 253),,202012,31/12/2020
0,SSB,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SPSC,2-Buy,Industry: Business - Services,Bottom 21% (201 out of 253),,202012,31/12/2020
0,SONA,3-Hold,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SNV,1-Strong,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SNPS,3-Hold,Industry: Computer - Software,Top 48% (122 out of 253),,202012,31/12/2020
0,SMMF,2-Buy,Industry: Banks - Southeast,Top 14% (36 out of 253),,202012,31/12/2020
0,SMG,3-Hold,Industry: Fertilizers,Bottom 23% (194 out of 253),,202012,31/12/2020
0,SMBC,3-Hold,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,SLP,3-Hold,Industry: Computer - Software,Top 48% (122 out of 253),,202012,31/12/2020
0,SLCT,4-Sell,Industry: Financial - Savings and Loan,Top 29% (74 out of 253),,202012,31/12/2020
0,SKY,1-Strong,Industry: Building Products - Mobile Homes and RV Builders,Top 2% (4 out of 253),,202012,31/12/2020
0,SKX,2-Buy,Industry: Shoes and Retail Apparel ,Top 22% (55 out of 253),,202012,31/12/2020
