,ticker,name,exch,type,exchDisp,typeDisp
0,SAN.MC,"Banco Santander, S.A.",YHD,S,Industry,Equity
1,CABK.MC,"CaixaBank, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
2,SAB.MC,"Banco de Sabadell, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
3,BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
4,ITX.MC,"Industria de Diseño Textil, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
5,IBE.MC,"Iberdrola, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
6,TEF.MC,"Telefónica, S.A.",YHD,S,Industry,Equity
7,DBK.DE,Deutsche Bank Aktiengesellschaft,GER,S,XETRA,Equity
8,EOAN.DE,E.ON SE,YHD,S,Industry,Equity
9,CBK.DE,Commerzbank AG,GER,S,XETRA,Equity
10,DTE.DE,Deutsche Telekom AG,GER,S,XETRA,Equity
11,IFX.DE,Infineon Technologies AG,GER,S,XETRA,Equity
12,MAP.MC,"Mapfre, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
13,ENG.MC,"Enagás, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
14,IAG.MC,"International Consolidated Airlines Group, S.A.",YHD,S,Industry,Equity
15,REP.MC,"Repsol, S.A.",YHD,S,Industry,Equity
16,LHA.DE,Deutsche Lufthansa AG,GER,S,XETRA,Equity
17,TKA.DE,thyssenkrupp AG,GER,S,XETRA,Equity
18,SCYR.MC,"Sacyr, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
19,REE.MC,"Red Eléctrica Corporación, S.A.",YHD,S,Industry,Equity
20,DIA.MC,"Distribuidora Internacional de Alimentación, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
21,RWE.DE,RWE Aktiengesellschaft,GER,S,XETRA,Equity
22,DAI.DE,Daimler AG,GER,S,XETRA,Equity
23,OHL.MC,"Obrascón Huarte Lain, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
24,DPW.DE,Deutsche Post AG,GER,S,XETRA,Equity
25,SAP.DE,SAP SE,YHD,S,Industry,Equity
26,BAYN.DE,Bayer Aktiengesellschaft,GER,S,XETRA,Equity
27,BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,GER,S,XETRA,Equity
28,ACX.MC,"Acerinox, S.A.",YHD,S,Industry,Equity
29,DLG.DE,Dialog Semiconductor Plc,GER,S,XETRA,Equity
30,SIE.DE,Siemens Aktiengesellschaft,GER,S,XETRA,Equity
31,ELE.MC,"Endesa, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
32,FER.MC,"Ferrovial, S.A.",MCE,S,Madrid Stock Exchange CATS,Equity
