,ticker,exchange
0,EURUSD,FX
1,GBPUSD,FX
2,NZDUSD,FX
3,USDCAD,FX
4,USDJPY,FX
5,USDCHF,FX
6,AUDUSD,FX
7,EURGBP,FX
8,EURCHF,FX
9,EURJPY,FX
10,GBPJPY,FX
11,EURAUD,FX
12,EURCAD,FX
13,AUDJPY,FX
14,CADJPY,FX
15,CHFJPY,FX
16,OIL,Commodity
17,GOLD,Commodity
18,SILVER,Commodity
19,COPPER,Commodity
20,NATGAS,Commodity
21,USDOLLAR,CFD
22,China50,CFD
23,SPX500,CFD
24,NSDQ100,CFD
25,DJ30,CFD
26,UK100,CFD
27,FRA40,CFD
28,GER40,CFD
29,AUS200,CFD
30,ESP35,CFD
31,JPN225,CFD
32,HKG50,CFD
33,USDHKD,FX
34,PLATINUM,Commodity
35,USDZAR,FX
36,EUSTX50,CFD
37,USDRUB,FX
38,USDCNH,FX
39,AUDCHF,FX
40,AUDCAD,FX
41,AUDNZD,FX
42,EURNZD,FX
43,GBPAUD,FX
44,GBPCHF,FX
45,GBPNZD,FX
46,NZDCAD,FX
47,NZDCHF,FX
48,NZDJPY,FX
49,CADCHF,FX
50,USDNOK,FX
51,USDSEK,FX
52,NOKSEK,FX
53,EURNOK,FX
54,EURSEK,FX
55,USDTRY,FX
56,USDMXN,FX
57,USDSGD,FX
58,GBPCAD,FX
59,ZARJPY,FX
60,EURPLN,FX
61,USDHUF,FX
62,EURHUF,FX
63,GBPHUF,FX
64,CHFHUF,FX
65,USDPLN,FX
66,USDCZK,FX
67,USDRON,FX
68,PALLADIUM,Commodity
69,SUGAR,Commodity
70,COTTON,Commodity
71,COCOA,Commodity
72,WHEAT,Commodity
73,ALUMINUM,Commodity
74,NICKEL,Commodity
75,CL.JUL20,Commodity
76,CL.AUG20,Commodity
77,CL.SEP20,Commodity
78,CL.OCT20,Commodity
79,CL.NOV20,Commodity
80,CL.DEC20,Commodity
81,CL.JAN21,Commodity
82,CL.FEB21,Commodity
83,CL.MAR21,Commodity
84,CL.APR21,Commodity
85,CL.MAY21,Commodity
86,CL.JUN21,Commodity
87,CL.JUL21,Commodity
88,CL.AUG21,Commodity
89,CL.SEP21,Commodity
90,CL.OCT21,Commodity
91,CL.NOV21,Commodity
92,CL.DEC21,Commodity
93,CL.JAN22,Commodity
94,AAPL,Nasdaq
95,GOOG,Nasdaq
96,FB,Nasdaq
97,MSFT,Nasdaq
98,AMZN,Nasdaq
99,ZNGA,Nasdaq
100,AA,NYSE
101,AXP,NYSE
102,BA,NYSE
103,BAC,NYSE
104,CAT,NYSE
105,CSCO,Nasdaq
106,CVX,NYSE
107,DIS,NYSE
108,GE,NYSE
109,HD,NYSE
110,HPQ,NYSE
111,IBM,NYSE
112,INTC,Nasdaq
113,JNJ,NYSE
114,JPM,NYSE
115,KO,NYSE
116,MCD,NYSE
117,MMM,NYSE
118,MRK,NYSE
119,PFE,NYSE
120,PG,NYSE
121,T,NYSE
122,TRV,NYSE
123,UNH,NYSE
124,RTX,NYSE
125,VZ,NYSE
126,WMT,NYSE
127,XOM,NYSE
128,C,NYSE
129,HMC,NYSE
130,HSBC,NYSE
131,MANU,NYSE
132,MA,NYSE
133,NKE,NYSE
134,PEP,Nasdaq
135,SONY,NYSE
136,TM,NYSE
137,V,NYSE
138,VOD,Nasdaq
139,DB,NYSE
140,CL,NYSE
141,EBAY,Nasdaq
142,YNDX,Nasdaq
143,QIWI,Nasdaq
144,RENN,NYSE
145,TEO,NYSE
146,TX,NYSE
147,PBR,NYSE
148,VALE,NYSE
149,SAN,NYSE
150,TEF,NYSE
151,AMX,NYSE
152,CX,NYSE
153,TV,NYSE
154,TSLA,NASDAQ
155,F,NYSE
156,LVS,NYSE
157,NOK,NYSE
158,FSLR,NASDAQ
159,BRK.B,NYSE
160,WU,NYSE
161,GPS,NYSE
162,RL,NYSE
163,HOG,NYSE
164,TRIP,NASDAQ
165,EA,NASDAQ
166,URBN,NASDAQ
167,ADBE,NASDAQ
168,NFLX,NASDAQ
169,MSI,NYSE
170,WDC,NASDAQ
171,MU,NASDAQ
172,ANF,NYSE
173,AGNC,NASDAQ
174,ADSK,NASDAQ
175,ORCL,NYSE
176,LMT,NYSE
177,NVDA,NASDAQ
178,FDX,NYSE
179,CAR,NASDAQ
180,BIDU,NASDAQ
181,SBUX,NASDAQ
182,AMGN,NASDAQ
183,ATVI,NASDAQ
184,CHKP,NASDAQ
185,MOS,NYSE
186,KDP,Nasdaq
187,STZ,NYSE
188,LMND,NYSE
189,TWTR,NYSE
190,BABA,NYSE
191,SPOT,NYSE
192,DBX,Nasdaq
193,ETSY,NASDAQ
194,WIX,NASDAQ
195,RYAAY,NASDAQ
196,ACB,Nasdaq
197,SMG,NYSE
198,CARA,NASDAQ
199,ZYNE,NASDAQ
200,CRBP,NASDAQ
201,CRON,NASDAQ
202,CVA,NYSE
203,EVA,NYSE
204,NEP,NYSE
205,ALB,NYSE
206,ENS,NYSE
207,1810.HK,Hong Kong Exchanges
208,OSTK,Nasdaq
209,TLRY,Nasdaq
210,LYFT,Nasdaq
211,PINS,NYSE
212,LEVI,NYSE
213,UBER,NYSE
214,BYND,Nasdaq
215,SIE,FRA
216,BAS,FRA
217,SAP,FRA
218,BAYN,FRA
219,ALV,FRA
220,EOAN,FRA
221,DAI.DE,FRA
222,DTE,FRA
223,VOW3,FRA
224,BMW,FRA
225,MUV2,FRA
226,RWE,FRA
227,FME,FRA
228,ADS,FRA
229,DPW,FRA
230,FRE,FRA
231,HEN3,FRA
232,DB1,FRA
233,TKA,FRA
234,IFX,FRA
235,SDF,FRA
236,CBK,FRA
237,BEI,FRA
238,HEI.DE,FRA
239,LHA,FRA
240,CON,FRA
241,AC,Euronext Paris
242,ACA,Euronext Paris
243,AI,Euronext Paris
244,AIR,Euronext Paris
245,ALO,Euronext Paris
246,BN,Euronext Paris
247,BNP,Euronext Paris
248,CA,Euronext Paris
249,CAP,Euronext Paris
250,CS.PA,Euronext Paris
251,DG,Euronext Paris
252,EDF,Euronext Paris
253,EL,Euronext Paris
254,EN,Euronext Paris
255,TTE,Euronext Paris
256,FR,Euronext Paris
257,GLE,Euronext Paris
258,ENGI,Euronext Paris
259,KER,Euronext Paris
260,LR,Euronext Paris
261,MC,Euronext Paris
262,ML.PA,Euronext Paris
263,MTS,Bolsa De Madrid
264,OR,Euronext Paris
265,ORA,Euronext Paris
266,PUB,Euronext Paris
267,RI,Euronext Paris
268,RNO,Euronext Paris
269,SAF,Euronext Paris
270,SAN,Euronext Paris
271,SGO,Euronext Paris
272,SOLB,Euronext Paris
273,SU,Euronext Paris
274,VIE,Euronext Paris
275,VIV.PA,Euronext Paris
276,A2A,Borsa Italiana
277,AGL,Borsa Italiana
278,ATL,Borsa Italiana
279,AZM,Borsa Italiana
280,BPE,Borsa Italiana
281,BZU,Borsa Italiana
282,CNHI,Borsa Italiana
283,CPR,Borsa Italiana
284,ENEL,Borsa Italiana
285,ENI,Borsa Italiana
286,EXO,Borsa Italiana
287,STLA,Borsa Italiana
288,LDO,Borsa Italiana
289,G.MI,Borsa Italiana
290,ISP,Borsa Italiana
291,MB.MI,Borsa Italiana
292,MONC,Borsa Italiana
293,MS,Borsa Italiana
294,PRY,Borsa Italiana
295,SFER,Borsa Italiana
296,SRG,Borsa Italiana
297,STM.MI,Borsa Italiana
298,TEN,Borsa Italiana
299,TIT,Borsa Italiana
300,TOD,Borsa Italiana
301,TRN,Borsa Italiana
302,UCG,Borsa Italiana
303,US,Borsa Italiana
304,ACS,Bolsa de Madrid
305,AMS,Bolsa de Madrid
306,ANA,Bolsa de Madrid
307,BBVA.MC,Bolsa de Madrid
308,BKT,Bolsa de Madrid
309,CABK,Bolsa de Madrid
310,DIAm,Bolsa de Madrid
311,ELE,Bolsa de Madrid
312,ENG,Bolsa de Madrid
313,FCC,Bolsa de Madrid
314,FER,Bolsa de Madrid
315,SGRE,Bolsa de Madrid
316,NTGY,Bolsa de Madrid
317,GRF,Bolsa de Madrid
318,IBE,Bolsa de Madrid
319,IDR,Bolsa de Madrid
320,ITX,Bolsa de Madrid
321,MAP,Bolsa de Madrid
322,OHLA,Bolsa de Madrid
323,REE.MC,Bolsa de Madrid
324,REP.MC,Bolsa de Madrid
325,SAB,Bolsa de Madrid
326,SCYR,Bolsa de Madrid
327,TL5,Bolsa de Madrid
328,TRE,Bolsa de Madrid
329,OGZDL,LSE
330,LKODL,LSE
331,MGNTL,LSE
332,MNODL,LSE
333,NVTKL,LSE
334,ROSNL,LSE
335,SBERL,LSE
336,SVSTL,LSE
337,SGGD.L,LSE
338,ATADL,LSE
339,NTES,Nasdaq
340,JD,Nasdaq
341,TCOM,Nasdaq
342,ATHM,NYSE
343,JOBS,Nasdaq
344,MOMO,NASDAQ
345,TTWO,NASDAQ
346,NESN,SIX
347,ROG,SIX
348,CSGN,SIX
349,ABBN,SIX
350,ADEN,SIX
351,BAER,SIX
352,CFR,SIX
353,GEBN,SIX
354,GIVN,SIX
