,fundamental_id,fundamental_name,r1_bigfive_flag
0,1,totalrevenue,0
1,2,operatingincome,0
2,3,incomebeforetax,0
3,4,incometaxexpense,0
4,5,earnings,0
5,6,freecashflow,0
6,7,cashandcashequivalents,0
7,8,totalliab,0
8,9,totalstockholderequity,0
9,10,investedcapital,0
10,11,taxrate,0
11,12,notpad,0
12,13,roic,1
13,14,revenue_gw,1
14,15,earnings_gw,1
15,16,equity_gw,1
16,17,freecashflow_gw,1
17,18,longtermdebt,0
18,19,totalcurrentassets,0
19,20,totalcurrentliabilities,0
20,21,lt_debt_to_Equity_ratio,0
21,22,st_debt_ratio,0
